"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","Treatment"
"16",932,2019-10-07 19:16:16,2,0.00126194557813134,0,93.51,1.34953008034578e-05,0,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",977,2019-10-07 20:51:07,2,0.00127308835087509,0,93.51,1.36144620989743e-05,0,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",3088,2019-10-10 19:07:20,3,0.000328562047988207,-8.96557490864057e-20,93.51,3.51365680663252e-06,-9.58782473386865e-22,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",3117,2019-10-10 19:54:42,2,0.000803311305996938,1.46407225179129e-19,93.51,8.59064598435395e-06,1.56568522274761e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",3137,2019-10-10 20:41:45,2,0.00137782387275976,-1.46407225179129e-19,93.51,1.47345083173967e-05,-1.56568522274761e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",3163,2019-10-10 21:29:16,3,0.00120831225533108,-1.76944427029764e-19,93.51,1.292174372079e-05,-1.89225138519692e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",6697,2019-10-15 17:30:50,2,0.00123977966728033,1.46407225179129e-19,93.51,1.32582575904217e-05,1.56568522274761e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",6718,2019-10-15 18:17:55,2,0.000235476119715633,0,93.51,2.51819184809788e-06,0,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",6748,2019-10-15 19:05:26,2,0.000523203380347698,1.52507526228259e-19,93.51,5.59515966578653e-06,1.63092210702876e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",6771,2019-10-15 19:52:36,2,0.000896399744791094,1.52507526228259e-19,93.51,9.58613779051539e-06,1.63092210702876e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",8952,2019-10-18 19:41:02,3,0.00120991191310562,-9.02414218907297e-20,93.51,1.29388505304847e-05,-9.65045683784939e-22,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",8976,2019-10-18 20:28:36,3,0.0005515476811915,-9.08631928572607e-20,93.51,5.89827484965779e-06,-9.71694929496959e-22,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",9004,2019-10-18 21:15:41,3,0.000392252820104006,-8.96557490864057e-20,93.51,4.19476868895311e-06,-9.58782473386865e-22,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"16",13270,2019-10-24 16:13:29,2,0.00152937054028721,0,93.51,1.63551549597605e-05,0,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat_incubation"
"39",905,2019-10-07 18:24:10,2,0.00117857532397603,0,102.71,1.14747865249346e-05,0,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",928,2019-10-07 19:11:14,2,0.00189285330167136,0,102.71,1.84291042904426e-05,0,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",950,2019-10-07 19:58:59,4,0.00112510673225428,1.0027285652322e-06,102.71,1.09542082782035e-05,9.7627160474365e-09,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",973,2019-10-07 20:46:04,2,0.00213099699467563,0,102.71,2.07477070847593e-05,0,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",3060,2019-10-10 18:14:45,2,0.00057281959479544,0,102.71,5.57705768469906e-06,0,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",3086,2019-10-10 19:02:14,3,0.000366137819030308,-8.73233700414282e-20,102.71,3.56477284617183e-06,-8.50193457710332e-22,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",3113,2019-10-10 19:49:44,2,0.0008086942678463,1.40776178056855e-19,102.71,7.87356895965631e-06,1.37061803190395e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",3135,2019-10-10 20:37:03,3,0.00170631102926651,-8.73121082850697e-20,102.71,1.66129006841253e-05,-8.50083811557489e-22,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",3161,2019-10-10 21:24:12,3,0.000231630802866147,-1.73519986921032e-19,102.71,2.25519231687417e-06,-1.68941667725666e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",6716,2019-10-15 18:15:23,2,0.000344113052008173,0,102.71,3.35033640354564e-06,0,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",6746,2019-10-15 19:02:54,2,0.000892131160206194,1.43536495273656e-19,102.71,8.68592308641996e-06,1.39749289527461e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
"39",6769,2019-10-15 19:50:05,2,0.00120445112996639,1.43536495273656e-19,102.71,1.17267172618673e-05,1.39749289527461e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat_incubation"
