"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",4.00325767526246e-05,1.41241491766837e-06,8.00651535052491e-07,8.00651535052491e-07,6.17974337613294e-07,0.771839321550516,8.7394768945125e-08,50,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"11",4.06876639344462e-05,9.37337423788032e-07,3.5380577334301e-07,2.75365270552812e-07,3.017869556979e-07,0.852973519472001,2.81417787252499e-08,115,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1
"13",4.98034076159939e-05,9.83405803075425e-07,2.59392747999968e-07,1.61775670857913e-07,3.35424535707392e-07,1.29311454654636,2.42071807479335e-08,192,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"15",5.63519863441773e-05,8.51993611517566e-07,5.63519863441773e-07,6.63157792962432e-07,3.03456863315213e-07,0.538502514289043,3.03456863315213e-08,100,"CPCRW_90d_up_CW_r2","C15","CPCRW","upland","constant weight","90 day",2
"16",6.91025450384771e-05,1.2487258051022e-06,4.76569276127428e-07,3.4557872181888e-07,4.36350819875049e-07,0.915608373709712,3.62369632210963e-08,145,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",9.31032655115661e-05,1.58963211016597e-06,1.29310090988286e-06,1.37826013226067e-06,2.85343632509195e-07,0.220666175646758,3.36280695859423e-08,72,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"20",1.40491699592231e-05,6.69008093296338e-07,6.69008093296338e-07,6.69008093296338e-07,0,0,0,21,"CPCRW_30d_up_CW_r3","C20","CPCRW","upland","constant weight","30 day",3
"25",5.47511741623139e-05,1.183296653598e-06,8.29563244883543e-07,9.6039873056171e-07,3.57236180604934e-07,0.430631639972289,4.39727341024235e-08,66,"CPCRW_90d_up_CW_r4","C25","CPCRW","upland","constant weight","90 day",4
"26",2.07551221207862e-05,4.87658843211346e-07,3.34760034206229e-07,3.34760034206229e-07,1.54146983258069e-07,0.460470090533887,1.9576686450471e-08,62,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",5.37114015341556e-05,6.73087508805478e-07,6.39421446835185e-07,6.61215294345372e-07,3.97517838001059e-08,0.0621683617227062,4.33727519698821e-09,84,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
