"Core","DATETIME","MPVPosition","CH4_dry","CO2_dry","Elapsed_seconds","Treatment","coreID","Site","location","drying","length","replicate","Core_assignment"
"16",2019-10-07 19:16:42,13,45.774690917,696.52249284,51,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 20:04:25,13,46.259568542,595.1020337,102,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 20:03:34,13,46.259568542,545.10379784,51,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 19:08:10,13,49.142527676,563.66308791,100,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 19:40:12,11,50.188820238,544.58886234,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 20:50:41,13,46.259568542,544.93415535,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 20:02:43,13,46.259568542,628.59442299,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 19:15:51,13,45.774690917,610.24777784,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 18:19:26,13,50.070986686,568.53790447,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 18:28:47,13,45.774690917,529.16706294,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 18:29:39,13,45.774690917,571.30198783,102,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 20:51:33,13,46.259568542,633.67726012,52,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 19:41:52,11,50.188820238,706.88038452,100,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 18:20:17,13,50.070986686,495.11092967,51,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 19:07:20,13,49.142527676,552.39951037,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 19:41:03,11,50.188820238,619.80987517,51,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-24 16:13:04,11,45.31402789,479.61405696,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 19:54:17,13,50.242409231,503.77199109,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 21:29:16,13,49.450684385,690.0577607,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 21:30:07,13,49.450684385,734.58701316,101,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 21:16:31,11,48.002177545,534.90053333,100,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-24 16:13:54,11,45.31402789,582.121513,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 20:29:26,11,48.002177545,586.97352173,99,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 19:06:30,13,49.142527676,519.61874574,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 20:41:20,13,50.219397836,542.17927692,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 20:42:10,13,50.219397836,634.52917928,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 21:28:26,13,49.450684385,570.73860838,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-10 19:55:07,13,50.242409231,557.61466441,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-15 19:05:50,12,45.803607313,539.1871175,48,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-15 19:52:12,12,45.803607313,526.54251872,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-15 19:53:00,12,45.803607313,584.22124916,48,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-07 18:27:57,13,45.774690917,596.41758246,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 21:14:51,11,48.002177545,482.31832692,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 21:15:41,11,48.002177545,482.20331482,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 20:27:47,11,48.002177545,513.92065229,0,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-18 20:28:37,11,48.002177545,572.16276348,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-10-15 17:31:15,12,45.488262243,554.22282034,50,"sat_incubation","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
