"coreID","site","location","drying","length","saturation","DOC_analysis","skip"
"C0","Alaska",,,,"d+rewet",FALSE,
"C1","Alaska","upland","force-dried","90d","d+rewet",TRUE,
"C10","Alaska","upland","force-dried","1000d","drought",FALSE,
"C11","Alaska","upland","air-dried","90d","d+rewet",TRUE,
"C13","Alaska","upland","air-dried","150d","d+rewet",FALSE,
"C14","Alaska","upland","force-dried","150d","d+rewet",FALSE,
"C15","Alaska","upland","air-dried","90d","d+rewet",TRUE,
"C16","Alaska","upland","force-dried","30d","d+rewet",FALSE,
"C17","Alaska","upland","force-dried","1000d","drought",FALSE,
"C18","Alaska","upland","force-dried","90d","d+rewet",TRUE,
"C2","Alaska","upland","air-dried","1000d","d+rewet",FALSE,
"C20","Alaska","upland","air-dried","30d","d+rewet",TRUE,
"C25","Alaska","upland","air-dried","90d","d+rewet",TRUE,
"C26","Alaska","upland","air-dried","150d","d+rewet",TRUE,
"C27","Alaska","upland","force-dried","30d","d+rewet",TRUE,
"C28","Alaska","upland","air-dried","150d","d+rewet",TRUE,
"C29","Alaska",,,"timezero","timezero",TRUE,
"C3","Alaska","upland","air-dried","30d","d+rewet",TRUE,
"C31","Alaska","upland","air-dried","1000d","d+rewet",FALSE,
"C33","Alaska","upland","force-dried","150d","d+rewet",TRUE,
"C34","Alaska","upland","air-dried","90d","d+rewet",FALSE,
"C35","Alaska","upland","force-dried","150d","d+rewet",TRUE,
"C36","Alaska","upland","force-dried","1000d","d+rewet",FALSE,
"C37","Alaska","upland","force-dried","90d","d+rewet",TRUE,
"C38","Alaska","upland","air-dried","1000d","d+rewet",FALSE,
"C39","Alaska","upland","force-dried","30d","d+rewet",TRUE,
"C4","Alaska","upland","air-dried","150d","d+rewet",TRUE,
"C40","Alaska","upland","force-dried","1000d","d+rewet",FALSE,
"C42","Alaska","lowland","force-dried","1000d","d+rewet",FALSE,
"C44","Alaska","lowland","force-dried","30d","d+rewet",TRUE,
"C46","Alaska","lowland","force-dried","150d","d+rewet",TRUE,
"C48","Alaska","lowland","air-dried","1000d","d+rewet",FALSE,
"C49","Alaska","lowland","force-dried","150d","d+rewet",TRUE,
"C5","Alaska","upland","air-dried","1000d","drought",FALSE,
"C50","Alaska","lowland","force-dried","30d","d+rewet",TRUE,
"C51","Alaska","lowland","air-dried","1000d","drought",FALSE,
"C52","Alaska","lowland","force-dried","90d","d+rewet",TRUE,
"C53","Alaska","lowland","air-dried","90d","d+rewet",TRUE,
"C54","Alaska","lowland","air-dried","30d","d+rewet",FALSE,
"C54A","Alaska","lowland","air-dried","1000d","drought",FALSE,
"C55","Alaska","lowland","air-dried","150d","d+rewet",TRUE,
"C56","Alaska","lowland","force-dried","30d","d+rewet",TRUE,
