Site,Core,Core_assignment,
SR,1,SR_90d_low_FAD_r1,
SR,2,SR_1000d_low_CW_r3,
SR,3,SR_30d_low_CW_r4,
SR,4,SR_150d_low_CW_r4,
SR,5,SR_1000d_low_CW_r4,
SR,6,SR_30d_low_FAD_r1,
SR,7,,
SR,8,SR_150d_low_FAD_r3,
SR,9,SR_30d_low_CW_r2,
SR,10,SR_1000d_low_FAD_r4,
SR,11,SR_90d_low_CW_r1,
SR,12,,
SR,13,SR_150d_low_CW_r2,
SR,14,SR_150d_low_FAD_r4,
SR,15,SR_90d_low_CW_r2,
SR,16,SR_30d_low_FAD_r2,
SR,17,SR_1000d_low_FAD_r3,
SR,18,SR_90d_low_FAD_r3,
SR,19,,
SR,20,SR_30d_low_CW_r3,
SR,21,,
SR,22,,
SR,23,,
SR,24,,
SR,25,SR_90d_low_CW_r4,
SR,26,SR_150d_low_CW_r3,
SR,27,SR_30d_low_FAD_r3,
SR,28,SR_150d_low_CW_r1,
SR,29,time0,
SR,30,,
SR,31,SR_1000d_low_CW_r1,
SR,32,,
SR,33,SR_150d_low_FAD_r1,
SR,34,SR_90d_low_CW_r3,
SR,35,SR_150d_low_FAD_r2,
SR,36,SR_1000d_low_FAD_r2,
SR,37,SR_90d_low_FAD_r4,
SR,38,SR_1000d_low_CW_r2,
SR,39,SR_30d_low_FAD_r4,
SR,40,SR_1000d_low_FAD_r1,
SR,41,,
SR,42,SR_1000d_low_FAD_r2,
SR,43,,
SR,44,SR_30d_low_FAD_r3,
SR,45,,
SR,46,SR_150d_low_FAD_r4,
SR,47,,
SR,48,SR_1000d_low_CW_r3,
SR,49,SR_150d_low_FAD_r3,
SR,50,SR_30d_low_FAD_r1,
SR,51,SR_1000d_low_CW_r4,
SR,52,SR_90d_up_FAD_r3,
SR,53,SR_90d_up_CW_r4,
SR,54,SR_30d_up_CW_r4,
SR,55,SR_1000d_up_CW_r2,
SR,56,SR_150d_up_CW_r4,
SR,57,SR_30d_up_FAD_r4,
SR,58,,
SR,59,SR_1000d_up_CW_r1,
SR,60,SR_1000d_up_FAD_r3,
SR,61,SR_150d_up_CW_r1,
SR,62,SR_90d_up_CW_r2,
SR,63,SR_150d_up_CW_r2,
SR,64,SR_1000d_up_FAD_r4,Note: Accidentially spilled the core; (original weight: 265.69 / headspace: 1)
SR,65,SR_90d_up_CW_r3,
SR,66,SR_30d_up_CW_r3,
SR,67,SR_30d_up_CW_r2,
SR,68,time0,
SR,69,,
SR,70,SR_30d_up_CW_r1,
SR,71,,
SR,72,SR_90d_up_FAD_r4,
SR,73,SR_150d_up_CW_r3,
SR,74,time0,
SR,75,SR_1000d_up_FAD_r1,
SR,76,SR_30d_up_FAD_r2,
SR,77,,
SR,78,SR_90d_up_FAD_r1,
SR,79,,
SR,80,SR_150d_up_FAD_r2,
SR,81,,
SR,82,time0,
SR,83,SR_30d_up_CW_r1,
SR,84,,
SR,85,,
SR,86,SR_150d_up_FAD_r1,
SR,87,SR_90d_up_CW_r1,
SR,88,,
SR,89,,
SR,90,,
SR,91,,
SR,92,,
SR,93,,
SR,94,,
SR,95,,
SR,96,,
SR,,,
