Sample,Core_no,coreID,Depth,POM,POM_ID
,1,S1,0-5 cm,POM,POM1
,1,S1,0-5 cm,non-POM,POM2
,1,S1,5cm-end,POM,POM3
,1,S1,5cm-end,non-POM,POM4
,2,S2,0-5 cm,POM,POM5
,2,S2,0-5 cm,non-POM,POM6
,2,S2,5cm-end,POM,POM7
,2,S2,5cm-end,non-POM,POM8
,3,S3,0-5 cm,POM,POM9
,3,S3,0-5 cm,non-POM,POM10
,3,S3,5cm-end,POM,POM11
,3,S3,5cm-end,non-POM,POM12
,4,S4,0-5 cm,POM,POM13
,4,S4,0-5 cm,non-POM,POM14
,4,S4,5cm-end,POM,POM15
,4,S4,5cm-end,non-POM,POM16
,5,S5,0-5 cm,POM,POM17
,5,S5,0-5 cm,non-POM,POM18
,5,S5,5cm-end,POM,POM19
,5,S5,5cm-end,non-POM,POM20
,6,S6,0-5 cm,POM,POM21
,6,S6,0-5 cm,non-POM,POM22
,6,S6,5cm-end,POM,POM23
,6,S6,5cm-end,non-POM,POM24
,7,S7,0-5 cm,POM,POM25
,7,S7,0-5 cm,non-POM,POM26
,7,S7,5cm-end,POM,POM27
,7,S7,5cm-end,non-POM,POM28
,8,S8,0-5 cm,POM,POM29
,8,S8,0-5 cm,non-POM,POM30
,8,S8,5cm-end,POM,POM31
,8,S8,5cm-end,non-POM,POM32
,9,S9,0-5 cm,POM,POM33
,9,S9,0-5 cm,non-POM,POM34
,9,S9,5cm-end,POM,POM35
,9,S9,5cm-end,non-POM,POM36
,10,S10,0-5 cm,POM,POM37
,10,S10,0-5 cm,non-POM,POM38
,10,S10,5cm-end,POM,POM39
,10,S10,5cm-end,non-POM,POM40
,11,S11,0-5 cm,POM,POM41
,11,S11,0-5 cm,non-POM,POM42
,11,S11,5cm-end,POM,POM43
,11,S11,5cm-end,non-POM,POM44
,12,S12,0-5 cm,POM,POM45
,12,S12,0-5 cm,non-POM,POM46
,12,S12,5cm-end,POM,POM47
,12,S12,5cm-end,non-POM,POM48
,13,S13,0-5 cm,POM,POM49
,13,S13,0-5 cm,non-POM,POM50
,13,S13,5cm-end,POM,POM51
,13,S13,5cm-end,non-POM,POM52
,14,S14,0-5 cm,POM,POM53
,14,S14,0-5 cm,non-POM,POM54
,14,S14,5cm-end,POM,POM55
,14,S14,5cm-end,non-POM,POM56
,15,S15,0-5 cm,POM,POM57
,15,S15,0-5 cm,non-POM,POM58
,15,S15,5cm-end,POM,POM59
,15,S15,5cm-end,non-POM,POM60
,16,S16,0-5 cm,POM,POM61
,16,S16,0-5 cm,non-POM,POM62
,16,S16,5cm-end,POM,POM63
,16,S16,5cm-end,non-POM,POM64
,17,S17,0-5 cm,POM,POM65
,17,S17,0-5 cm,non-POM,POM66
,17,S17,5cm-end,POM,POM67
,17,S17,5cm-end,non-POM,POM68
,18,S18,0-5 cm,POM,POM69
,18,S18,0-5 cm,non-POM,POM70
,18,S18,5cm-end,POM,POM71
,18,S18,5cm-end,non-POM,POM72
,19,S19,0-5 cm,POM,POM73
,19,S19,0-5 cm,non-POM,POM74
,19,S19,5cm-end,POM,POM75
,19,S19,5cm-end,non-POM,POM76
,20,S20,0-5 cm,POM,POM77
,20,S20,0-5 cm,non-POM,POM78
,20,S20,5cm-end,POM,POM79
,20,S20,5cm-end,non-POM,POM80
