"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C8H11O5N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1111,0.25,1.38,0.62,-2,4,-0.25
"C9H7O1N5","ConHC","condensed aromatic","condensed aromatic",1,1.1111,0.78,0.11,3,9,0.3333
"C9H15O4N1","Protein","aliphatic","aliphatic+N",0,-0.4444,1.67,0.44,-2,3,-0.2222
"C10H19O3N1","Protein","aliphatic","aliphatic+N",-0.0667,-1,1.9,0.3,-2,2,-0.2
"C7H6O5S1","Tannin","unsaturated/lignin","unsaturated/lignin",0.4286,0.8571,0.86,0.71,-1,5,-0.1429
"C11H6O4","ConHC","condensed aromatic","condensed aromatic",0.7778,0.1818,0.55,0.36,5,9,0.4545
"C15H6O1","ConHC","condensed aromatic","condensed aromatic",0.8621,-0.2667,0.4,0.07,12,13,0.8
"C8H10O6","Tannin","unsaturated/lignin","unsaturated/lignin",0.2,0.25,1.25,0.75,-2,4,-0.25
"C12H10O3","Lignin","aromatic","aromatic",0.619,-0.3333,0.83,0.25,5,8,0.4167
"C9H14O5","AminoSugar","aliphatic","aliphatic",0.0769,-0.4444,1.56,0.56,-2,3,-0.2222
"C8H14O4N2","Protein","aliphatic","aliphatic+N",-0.25,0,1.75,0.5,-3,3,-0.375
"C10H18O4","Protein","aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"C9H18O3N2","Protein","aliphatic","lipid",-0.2727,-0.6667,2,0.33,-3,2,-0.3333
"C11H23O1P1","Lipid","aliphatic","lipid",-0.0526,-1.9091,2.09,0.09,-1,1,-0.0909
"C11H22O3","Lipid","aliphatic","lipid",-0.0526,-1.4545,2,0.27,-2,1,-0.1818
"C9H6O1N3P1","ConHC","condensed aromatic","condensed aromatic",1,0.5556,0.67,0.11,4,9,0.4444
"C7H9O6N1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.8571,1.29,0.86,-3,4,-0.4286
"C11H9O3N1","Lignin","aromatic","aromatic",0.6471,0,0.82,0.27,4,8,0.3636
"C8H13O5N1","AminoSugar","aliphatic","aliphatic+N",-0.1111,0,1.62,0.62,-3,3,-0.375
"C9H17O4N1","Protein","aliphatic","aliphatic+N",-0.1667,-0.6667,1.89,0.44,-3,2,-0.3333
"C11H8O4","ConHC","condensed aromatic","condensed aromatic",0.6667,0,0.73,0.36,4,8,0.3636
"C8H12O6","Carb","aliphatic","aliphatic",0,0,1.5,0.75,-3,3,-0.375
"C12H12O3","Lignin","aromatic","aromatic",0.5238,-0.5,1,0.25,4,7,0.3333
"C9H16O5","AminoSugar","aliphatic","aliphatic",-0.0769,-0.6667,1.78,0.56,-3,2,-0.3333
"C10H20O4","Protein","aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"C10H7O4N1","ConHC","condensed aromatic","condensed aromatic",0.7143,0.4,0.7,0.4,3,8,0.3
"C11H11O3N1","Lignin","aromatic","aromatic",0.5294,-0.1818,1,0.27,3,7,0.2727
"C9H20O2N1P1","Lipid","aliphatic","lipid",-0.3333,-1.4444,2.22,0.22,-3,1,-0.3333
"C10H6O5","ConHC","condensed aromatic","condensed aromatic",0.7333,0.4,0.6,0.5,3,8,0.3
"C7H10O7","Tannin","unsaturated/lignin","unsaturated/lignin",-0.1429,0.5714,1.43,1,-4,3,-0.5714
"C11H10O4","Lignin","aromatic","aromatic",0.5556,-0.1818,0.91,0.36,3,7,0.2727
"C8H14O4S1","Protein","aliphatic","aliphatic",-0.2,-0.5,1.75,0.5,-3,2,-0.375
"C12H14O1S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4286,-0.8333,1.17,0.08,4,6,0.3333
"C8H14O6","Carb","aliphatic","aliphatic",-0.2,-0.25,1.75,0.75,-4,2,-0.5
"C12H14O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.6667,1.17,0.25,3,6,0.25
"C9H18O5","AminoSugar","aliphatic","lipid",-0.2308,-0.8889,2,0.56,-4,1,-0.4444
"C13H18O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-1.0769,1.38,0.15,3,5,0.2308
"C14H22O1","Lipid","aliphatic","aliphatic",0.2593,-1.4286,1.57,0.07,3,4,0.2143
"C9H5O5N1","ConHC","condensed aromatic","condensed aromatic",0.8182,0.8889,0.56,0.56,2,8,0.2222
"C7H14O2N1S1P1","Lipid","aliphatic","lipid",-0.6667,-0.7143,2,0.29,-3,2,-0.4286
"C10H9O4N1","Lignin","aromatic","aromatic",0.5714,0.2,0.9,0.4,2,7,0.2
"C11H13O3N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.18,0.27,2,6,0.1818
"C9H4O6","ConHC","condensed aromatic","condensed aromatic",0.8333,0.8889,0.44,0.67,2,8,0.2222
"C7H13O1S2P1","Lipid","aliphatic","aliphatic",-0.4286,-1,1.86,0.14,-2,2,-0.2857
