Site,Core,depth,moisture_perc,fticr_wt_g,date,notes
CPCRW,1,0-5cm,71.19,10.01,11/19/19,
CPCRW,1,5cm-end,56.16,10,11/19/19,
CPCRW,3,0-5cm,42.67,5.02,a,
CPCRW,3,5cm-end,132.06,9.97,a,
CPCRW,4,0-5cm,89,20.31,10/11/19,
CPCRW,4,5cm-end,29.8,20.42,10/11/19,
CPCRW,6,0-5cm,51.5,21.06,10/11/19,
CPCRW,6,5cm-end,67,20.89,10/11/19,
CPCRW,8,0-5cm,44.93,10.07,3/3/20,
CPCRW,8,5cm-end,60.32,10.04,3/3/20,
CPCRW,9,0-5cm,59.57,9.95,a,
CPCRW,9,5cm-end,52.71,10.04,a,
CPCRW,11,0-5cm,72.23,9.98,b,
CPCRW,11,5cm-end,72.41,9.98,b,
CPCRW,13,0-5cm,81.6,20.12,10/11/19,
CPCRW,13,5cm-end,57.4,20.61,10/11/19,
CPCRW,14,0-5cm,26.58,10.19,3/3/20,
CPCRW,14,5cm-end,49.28,10,3/3/20,
CPCRW,15,0-5cm,63.14,10.02,b,
CPCRW,15,5cm-end,77.71,10.01,b,
CPCRW,16,0-5cm,62.6,20.75,10/11/19,
CPCRW,16,5cm-end,58.3,20.35,10/11/19,
CPCRW,18,0-5cm,120.41,10.01,11/19/19,
CPCRW,18,5cm-end,41.25,10.01,11/19/19,
CPCRW,20,0-5cm,25.85,10.01,a,
CPCRW,20,5cm-end,23.37,10.03,a,
CPCRW,25,0-5cm,44.99,10.01,b,
CPCRW,25,5cm-end,38.56,10,b,
CPCRW,26,0-5cm,49.6,20.02,10/11/19,
CPCRW,26,5cm-end,59.8,20.83,10/11/19,
CPCRW,27,0-5cm,50.7,20.93,10/11/19,
CPCRW,27,5cm-end,280.7,20.95,10/11/19,
CPCRW,28,0-5cm,49.3,20.84,10/11/19,
CPCRW,28,5cm-end,51.3,20.27,10/11/19,
CPCRW,29,0-5cm,26.05,10.01,b,
CPCRW,29,5cm-end,23.18,9.97,b,
CPCRW,33,0-5cm,34.67,10.01,3/3/20,
CPCRW,33,5cm-end,31.58,10.1,3/3/20,
CPCRW,34,0-5cm,55.91,9.98,b,
CPCRW,35,0-5cm,44.29,10.07,3/3/20,
CPCRW,35,5cm-end,40.28,10.15,3/3/20,
CPCRW,37,0-5cm,78.57,10,11/19/19,
CPCRW,37,5cm-end,151.22,10.01,11/19/19,
CPCRW,39,0-5cm,176.9,18.41,10/11/19,
CPCRW,39,5cm-end,175.5,20.75,10/11/19,
CPCRW,44,0-5cm,312.9,20.69,10/11/19,
CPCRW,44,5cm-end,176.6,20.9,10/11/19,
CPCRW,46,0-5cm,334.78,10.01,3/3/20,
CPCRW,46,5cm-end,65.57,10.01,3/3/20,
CPCRW,48,0-5cm,225.81,10,3/3/20,
CPCRW,48,5cm-end,148.78,10.01,3/3/20,
CPCRW,49,0-5cm,334.78,10.05,3/3/20,
CPCRW,49,5cm-end,233.33,10.04,3/3/20,
CPCRW,50,0-5cm,397.4,20.08,10/11/19,
CPCRW,50,5cm-end,49.2,20.33,10/11/19,
CPCRW,52,0-5cm,303.85,10.01,11/19/19,
CPCRW,52,5cm-end,51.39,10,11/19/19,
CPCRW,53,0-5cm,544.05,4.99,b,
CPCRW,53,5cm-end,366.23,9.98,b,
CPCRW,54,0-5cm,669.11,5.03,a,
CPCRW,54,5cm-end,600,6.7,a,???
CPCRW,55,0-5cm,243.4,20.78,10/11/19,
CPCRW,55,5cm-end,177.4,20.59,10/11/19,
CPCRW,56,0-5cm,372.2,20.62,10/11/19,
CPCRW,56,5cm-end,180.2,20.67,10/11/19,
CPCRW,60,0-5cm,330,19.78,10/11/19,
CPCRW,60,5cm-end,321.6,20.54,10/11/19,
CPCRW,61,0-5cm,487.17,4.59,b,
CPCRW,61,5cm-end,104.28,9.95,b,
CPCRW,62,0-5cm,346.4,20.38,10/11/19,
CPCRW,62,5cm-end,345.5,20.32,10/11/19,
CPCRW,64,0-5cm,305.5,9.95,b,
CPCRW,64,5cm-end,40.34,10.01,b,
CPCRW,65,0-5cm,552.38,4.98,a,
CPCRW,65,5cm-end,58.96,10,a,
CPCRW,66,0-5cm,552.36,4.99,a,
CPCRW,66,5cm-end,50.79,10.03,a,
CPCRW,67,0-5cm,792.17,4.96,b,
CPCRW,67,5cm-end,126.39,10.03,b,
CPCRW,69,0-5cm,253.98,10.02,a,
CPCRW,69,5cm-end,25.2,9.98,a,
CPCRW,70,0-5cm,16.04,10,c,
CPCRW,70,5cm-end,4.13,10,c,
CPCRW,71,0-5cm,296.15,10.03,11/19/19,
CPCRW,71,5cm-end,26.67,10.02,11/19/19,
CPCRW,72,0-5cm,165.9,20.28,10/11/19,
CPCRW,72,5cm-end,24,19.78,10/11/19,
CPCRW,73,0-5cm,65.18,9.97,b,
CPCRW,73,5cm-end,17.03,9.95,b,
CPCRW,75,0-5cm,127.5,20.33,10/11/19,
CPCRW,75,5cm-end,23.2,21.06,10/11/19,
CPCRW,76,0-5cm,3.19,10,c,
CPCRW,76,5cm-end,2.33,10,c,
CPCRW,77,0-5cm,863.64,,11/19/19,
CPCRW,77,5cm-end,255.17,,11/19/19,
CPCRW,78,0-5cm,17.07,10,c,
CPCRW,78,5cm-end,20.51,10,c,
CPCRW,79,0-5cm,359.09,10.01,3/3/20,
CPCRW,79,5cm-end,316.67,10.04,3/3/20,
CPCRW,80,0-5cm,20.37,5.46,c,
CPCRW,80,5cm-end,12.93,10,c,
CPCRW,81,0-5cm,152.49,9.98,b,
CPCRW,81,5cm-end,23.98,10.04,b,
CPCRW,82,0-5cm,90.43,10,a,
CPCRW,82,5cm-end,20.81,10.03,a,
CPCRW,83,0-5cm,14.39,10,c,
CPCRW,83,5cm-end,1.38,10,c,
CPCRW,84,0-5cm,10.1,5.94,c,
CPCRW,84,5cm-end,3.7,10,c,
CPCRW,85,0-5cm,3.06,10,3/3/20,
CPCRW,85,5cm-end,34.67,10.05,3/3/20,
CPCRW,86,0-5cm,30.19,10.03,b,
CPCRW,86,5cm-end,17.93,9.95,b,
SR,3,0-5cm,70.13,17.01,,
SR,3,5cm-end,75.18,17.52,,
SR,6,0-5cm,65.08,16.51,,
SR,6,5cm-end,72.58,17.26,,
SR,9,0-5cm,89.45,18.95,,
SR,9,5cm-end,82.82,18.28,,
SR,11,0-5cm,66.48,16.66,,
