Start_Date,Start_Time,Stop_Date,Stop_Time,Seq.Program,Site,Core,Valve,Mass_g,Initials,Notes1,Notes2
2018-12-03,10:00,,,mass_only,CPCRW,1,1,261.77,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,2,2,316.17,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,3,3,282.16,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,4,4,243.09,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,5,5,276.09,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,6,6,269.86,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,8,7,278.35,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,9,8,262.3,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,10,9,266.42,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,11,10,241.45,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,13,11,254.88,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,14,12,236.11,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,15,13,212.22,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,16,14,227.31,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,17,15,132.65,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,AMB,,16,0,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,18,1,255.79,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,20,2,293.62,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,25,3,281.46,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,26,4,223.14,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,27,5,202.97,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,28,6,252.64,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,31,7,214.95,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,33,8,258.95,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,34,9,207.52,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,35,10,172.65,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,36,11,199.41,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,37,12,163.47,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,38,13,178.28,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,39,14,148.28,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,40,15,171.21,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,AMB,,16,0,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,42,1,171.53,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,44,2,200.64,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,46,3,240.92,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,48,4,237.28,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,49,5,141.38,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,50,6,289.14,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,51,7,230.33,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,52,8,304.76,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,53,9,229.84,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,54,10,145.49,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,54A,11,255.52,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,55,12,235.29,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,56,13,242.65,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,58,14,255.29,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,59,15,255.13,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,AMB,0,16,0,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,60,1,258.34,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,61,2,273.85,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,62,3,242.05,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,63,4,276.45,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,64,5,269.79,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,65,6,299.62,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,66,7,308.24,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,69,8,310.21,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,71,9,263.69,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,72,10,286.74,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,74,11,375.94,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,75,12,371.57,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,77,13,260.31,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,79,14,274,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,82,15,349,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,AMB,0,16,0,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,85,1,236.74,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,CPCRW,86,2,237.96,SF,KP: initial weight,
2018-12-03,10:00,,,mass_only,AMB,,16,0,SF,KP: initial weight,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,1,1,260.68,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,2,2,314.84,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,3,3,279.99,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,4,4,235.16,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,5,5,274.79,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,6,6,266.32,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,8,7,271.65,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,9,8,260.6,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,10,9,262.3,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,11,10,237.9,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,13,11,244.41,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,14,12,233.77,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,15,13,244.43,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,16,14,219.14,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,CPCRW,17,15,128.12,SF,,
2018-12-04,10:39,2018-12-04,11:42,CPCRW_SFDec2018,AMB,0,16,0,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,18,1,254.55,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,20,2,284.97,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,25,3,280.7,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,26,4,219.12,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,27,5,198.82,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,28,6,245.28,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,31,7,205.85,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,33,8,254.69,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,34,9,195.6,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,35,10,164.37,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,36,11,194.85,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,37,12,158.32,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,38,13,176.49,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,39,14,141.09,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,CPCRW,40,15,170.2,SF,,
2018-12-04,12:06,2018-12-04,12:47,CPCRW_SFDec2018,AMB,0,16,0,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,42,1,165.67,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,44,2,192.97,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,46,3,232.96,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,48,4,234.06,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,49,5,137.61,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,50,6,285.44,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,51,7,199.04,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,52,8,287.42,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,53,9,226.66,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,54,10,138.8,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,54A,11,253.98,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,55,12,232.08,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,56,13,240.19,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,58,14,251.15,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,CPCRW,59,15,252.66,SF,,
2018-12-04,12:56,2018-12-04,14:00,CPCRW_SFDec2018,AMB,0,16,0,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,60,1,254.39,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,61,2,269.87,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,62,3,235.26,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,63,4,269.15,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,64,5,266.63,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,65,6,297.24,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,66,7,297.32,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,69,8,305.35,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,71,9,258.1,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,72,10,278.88,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,74,11,362.34,SF,Changed from 262.34 by Ben 2019-01-30,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,75,12,353.08,SF,Changed from 253.08 by Ben 2019-01-30,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,77,13,257.27,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,79,14,259.45,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,CPCRW,82,15,341.4,SF,,
2018-12-04,14:22,2018-12-04,15:25,CPCRW_SFDec2018,AMB,0,16,0,SF,,
2018-12-04,15:31,2018-12-04,15:50,CPCRW_SFDec2018,CPCRW,85,1,229.71,SF,,
2018-12-04,15:31,2018-12-04,15:50,CPCRW_SFDec2018,CPCRW,86,2,234.9,SF,,
2018-12-04,15:31,2018-12-04,15:50,CPCRW_SFDec2018,AMB,0,16,0,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,65,1,244.52,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,61,2,190.13,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,64,3,204.53,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,60,4,211.03,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,63,5,197.34,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,69,6,257.12,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,66,7,248.57,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,62,8,154.81,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,71,9,199.19,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,75,10,318,SF,2 cm gap formed in the middle of core,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,85,11,213.5,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,72,12,243.8,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,74,13,321.29,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,79,14,197.56,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,CPCRW,82,15,288.27,SF,,
2018-12-11,11:14,2018-12-11,12:15,CPCRW_SFDec2018,AMB,0,16,,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,59,1,182.45,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,55,2,182.24,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,56,3,193.36,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,52,4,266.2,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,58,5,200.98,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,50,6,259.98,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,42,7,148.7,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,46,8,204.56,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,44,9,166.78,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,49,10,110.04,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,51,11,174.51,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,53,12,158.6,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,54,13,105.49,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,48,14,201.81,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,CPCRW,54A,15,213.06,SF,,
2018-12-12,11:16,2018-12-12,12:13,CPCRW_SFDec2018,AMB,0,16,,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,38,1,147.82,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,35,2,155.13,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,40,3,140.5,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,18,4,224,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,26,5,199.2,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,39,6,122.62,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,36,7,174.31,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,31,8,187.42,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,33,9,226.08,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,37,10,142.76,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,34,11,179.03,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,27,12,182.75,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,20,13,274.23,SF,,
2018-12-12,12:16,2018-12-12,14:24,CPCRW_SFDec2018,CPCRW,28,14,219.27,SF,,
