X.1,X,coreID,depth,Sample_type,DOC_ID,site,location,drying,length,saturation,DOC_analysis,skip,from Tayte
1,DOC_001,C55,0-5cm,True Sample,DOC-001,Alaska,lowland,air-dried,150d,d+rewet,TRUE,,
2,DOC_005,C46,0-5cm,True Sample,DOC-005,Alaska,lowland,force-dried,150d,d+rewet,TRUE,,DOC_005
3,DOC_007,C28,0-5cm,True Sample,DOC-007,Alaska,upland,air-dried,150d,d+rewet,TRUE,,DOC_007
4,DOC_013,C65,0-5cm,True Sample,DOC-013,Alaska,lowland,air-dried,30d,d+rewet,TRUE,,DOC_013
5,DOC_014,C66,0-5cm,True Sample,DOC-014,Alaska,lowland,air-dried,30d,d+rewet,TRUE,,DOC_014
6,DOC_016,C50,0-5cm,True Sample,DOC-016,Alaska,lowland,force-dried,30d,d+rewet,TRUE,,DOC_016
7,DOC_017,C44,0-5cm,True Sample,DOC-017,Alaska,lowland,force-dried,30d,d+rewet,TRUE,,DOC_017
8,DOC_018,C56,0-5cm,True Sample,DOC-018,Alaska,lowland,force-dried,30d,d+rewet,TRUE,,DOC_018
9,DOC_020,C3,0-5cm,True Sample,DOC-020,Alaska,upland,air-dried,30d,d+rewet,TRUE,,DOC_020
10,DOC_028,C71,0-5cm,True Sample,DOC-028,Alaska,lowland,force-dried,90d,d+rewet,TRUE,,DOC_028
11,DOC_030,C52,0-5cm,True Sample,DOC-030,Alaska,lowland,force-dried,90d,d+rewet,TRUE,,DOC_030
12,DOC_040,C49,5cm-end,True Sample,DOC-040,Alaska,lowland,force-dried,150d,d+rewet,TRUE,,DOC_040
13,DOC_041,C46,5cm-end,True Sample,DOC-041,Alaska,lowland,force-dried,150d,d+rewet,TRUE,,DOC_041
14,DOC_042,C79,5cm-end,True Sample,DOC-042,Alaska,lowland,force-dried,150d,d+rewet,TRUE,,DOC_042
15,DOC_049,C65,5cm-end,True Sample,DOC-049,Alaska,lowland,air-dried,30d,d+rewet,TRUE,,DOC_049
16,DOC_050,C66,5cm-end,True Sample,DOC-050,Alaska,lowland,air-dried,30d,d+rewet,TRUE,,DOC_050
17,DOC_051,C69,5cm-end,True Sample,DOC-051,Alaska,lowland,air-dried,30d,d+rewet,TRUE,,DOC_051
18,DOC_052,C50,5cm-end,True Sample,DOC-052,Alaska,lowland,force-dried,30d,d+rewet,TRUE,,DOC_052
19,DOC_053,C44,5cm-end,True Sample,DOC-053,Alaska,lowland,force-dried,30d,d+rewet,TRUE,,DOC_053
20,DOC_054,C56,5cm-end,True Sample,DOC-054,Alaska,lowland,force-dried,30d,d+rewet,TRUE,,DOC_054
21,DOC_061,C61,0-5cm,True Sample,DOC-061,Alaska,lowland,air-dried,90d,d+rewet,TRUE,,
22,DOC_063,C53,5cm-end,True Sample,DOC-063,Alaska,lowland,air-dried,90d,d+rewet,TRUE,,DOC_063
23,DOC_066,C52,5cm-end,True Sample,DOC-066,Alaska,lowland,force-dried,90d,d+rewet,TRUE,,DOC_066
24,DOC_099,S18,0-5cm,True Sample,DOC-099,Washington,lowland,force-dried,90d,d+rewet,TRUE,,DOC_099
25,DOC_102,S87,0-5cm,True Sample,DOC-102,Washington,upland,air-dried,90d,d+rewet,TRUE,,DOC_102
26,DOC_103,S65,0-5cm,True Sample,DOC-103,Washington,upland,air-dried,90d,d+rewet,TRUE,,DOC_103
27,DOC_112,S14,5cm-end,True Sample,DOC-112,Washington,lowland,force-dried,150d,d+rewet,TRUE,,DOC_112
28,DOC_122,S16,5cm-end,True Sample,DOC-122,Washington,lowland,force-dried,30d,d+rewet,TRUE,,DOC_122
29,DOC_131,S25,5cm-end,True Sample,DOC-131,,,,,,,,DOC_131
29,DOC_131,S25,5cm-end,True Sample,DOC-189,,,,,,,,
30,DOC_141,C78,0-5cm,True Sample,DOC-141,Alaska,,air-dried,90d,drought,TRUE,,
31,DOC_146,C83,0-5cm,True Sample,DOC-146,Alaska,,force-dried,90d,drought,TRUE,,DOC_146
32,DOC_147,C78,5cm-end,True Sample,DOC-147,Alaska,,air-dried,90d,drought,TRUE,,DOC_147
33,DOC_149,C84,5cm-end,True Sample,DOC-149,Alaska,,air-dried,90d,drought,TRUE,,DOC_149
34,DOC_150,C70,5cm-end,True Sample,DOC-150,Alaska,,force-dried,90d,drought,TRUE,,DOC_150
35,DOC_151,C80,5cm-end,True Sample,DOC-151,Alaska,,force-dried,90d,drought,TRUE,,DOC_151
36,DOC_161,S32,0-5cm,True Sample,DOC-161,Washington,,air-dried,90d,drought,TRUE,,DOC_161
37,DOC_162,S21,0-5cm,True Sample,DOC-162,Washington,,force-dried,90d,drought,TRUE,,DOC_162
38,DOC_166,S24,5cm-end,True Sample,DOC-166,Washington,,air-dried,30d,drought,TRUE,,
