"sample","Biotic_abiotic","Trans_name","count","total","percentage"
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","acetotacetate (-H2O)",88,1683,5.23
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","acetylation (-H2O)",6,1683,0.36
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","C2H2",381,1683,22.64
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","Carboxylation",6,1683,0.36
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","condensation/dehydration",4,1683,0.24
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","ethyl addition (-H2O)",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","Formic Acid (-H2O)",10,1683,0.59
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","glyoxylate (-H2O)",8,1683,0.48
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","H2S",11,1683,0.65
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","hydrogenation/dehydrogenation",4,1683,0.24
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","hydroxylation (-H)",5,1683,0.3
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","Inorganic Phosphate",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","NO3-",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","SO42-",2,1683,0.12
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","sulfate (-H2O)",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Alanine",3,1683,0.18
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Aspartic Acid",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Biotic","CH4_O",380,1683,22.58
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Cystine",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Glutamic Acid",2,1683,0.12
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Glycine",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Isoleucine",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Biotic","malonyl group (-H2O)",237,1683,14.08
"0-5cm_CPCRW_150d_CW_saturated","Biotic","NH_CH2",8,1683,0.48
"0-5cm_CPCRW_150d_CW_saturated","Biotic","palmitoylation (-H2O)",24,1683,1.43
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Phenylalanine",8,1683,0.48
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Proline",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","Biotic","secondary amine",3,1683,0.18
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Serine",74,1683,4.4
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Threonine",1,1683,0.06
"0-5cm_CPCRW_150d_CW_saturated","both","C6H10O5",104,1683,6.18
"0-5cm_CPCRW_150d_CW_saturated","both","C6H10O6",83,1683,4.93
"0-5cm_CPCRW_150d_CW_saturated","both","D-Ribose (-H2O) (ribosylation)",4,1683,0.24
"0-5cm_CPCRW_150d_CW_saturated","both","disaccharide (-H2O)",9,1683,0.53
"0-5cm_CPCRW_150d_CW_saturated","both","erythose (-H2O)",197,1683,11.71
"0-5cm_CPCRW_150d_CW_saturated","both","Glucuronic Acid (-H2O)",12,1683,0.71
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","acetotacetate (-H2O)",78,1378,5.66
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","acetylation (-H2O)",6,1378,0.44
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","C2H2",343,1378,24.89
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","Carboxylation",4,1378,0.29
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","condensation/dehydration",3,1378,0.22
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","ethyl addition (-H2O)",1,1378,0.07
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","Formic Acid (-H2O)",9,1378,0.65
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","glyoxylate (-H2O)",8,1378,0.58
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","H2S",4,1378,0.29
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","hydrogenation/dehydrogenation",4,1378,0.29
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","hydroxylation (-H)",5,1378,0.36
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","NO3-",1,1378,0.07
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Alanine",2,1378,0.15
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Asparagine",1,1378,0.07
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Aspartic Acid",1,1378,0.07
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","CH4_O",302,1378,21.92
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Glutamic Acid",1,1378,0.07
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Glycine",1,1378,0.07
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","malonyl group (-H2O)",197,1378,14.3
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","NH_CH2",5,1378,0.36
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","palmitoylation (-H2O)",19,1378,1.38
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Phenylalanine",4,1378,0.29
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","secondary amine",2,1378,0.15
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Serine",71,1378,5.15
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Threonine",1,1378,0.07
"0-5cm_CPCRW_150d_FAD_saturated","both","C6H10O5",72,1378,5.22
"0-5cm_CPCRW_150d_FAD_saturated","both","C6H10O6",52,1378,3.77
"0-5cm_CPCRW_150d_FAD_saturated","both","D-Ribose (-H2O) (ribosylation)",2,1378,0.15
"0-5cm_CPCRW_150d_FAD_saturated","both","disaccharide (-H2O)",4,1378,0.29
"0-5cm_CPCRW_150d_FAD_saturated","both","erythose (-H2O)",166,1378,12.05
"0-5cm_CPCRW_150d_FAD_saturated","both","Glucuronic Acid (-H2O)",9,1378,0.65
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","acetotacetate (-H2O)",89,1641,5.42
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","acetylation (-H2O)",6,1641,0.37
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","C2H2",380,1641,23.16
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","Carboxylation",6,1641,0.37
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","condensation/dehydration",5,1641,0.3
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","ethyl addition (-H2O)",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","Formic Acid (-H2O)",10,1641,0.61
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","glyoxylate (-H2O)",9,1641,0.55
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","H2S",13,1641,0.79
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","hydrogenation/dehydrogenation",4,1641,0.24
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","hydroxylation (-H)",5,1641,0.3
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","methanol (-H2O)",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","NO3-",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","SO42-",2,1641,0.12
"0-5cm_CPCRW_30d_CW_saturated","Abiotic","sulfate (-H2O)",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Alanine",3,1641,0.18
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Aspartic Acid",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Biotic","CH4_O",368,1641,22.43
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Cystine",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Glutamic Acid",2,1641,0.12
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Glycine",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Isoleucine",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Biotic","malonyl group (-H2O)",220,1641,13.41
"0-5cm_CPCRW_30d_CW_saturated","Biotic","NH_CH2",6,1641,0.37
"0-5cm_CPCRW_30d_CW_saturated","Biotic","palmitoylation (-H2O)",21,1641,1.28
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Phenylalanine",8,1641,0.49
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Proline",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","Biotic","secondary amine",4,1641,0.24
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Serine",75,1641,4.57
"0-5cm_CPCRW_30d_CW_saturated","Biotic","Threonine",1,1641,0.06
"0-5cm_CPCRW_30d_CW_saturated","both","C6H10O5",95,1641,5.79
"0-5cm_CPCRW_30d_CW_saturated","both","C6H10O6",79,1641,4.81
"0-5cm_CPCRW_30d_CW_saturated","both","D-Ribose (-H2O) (ribosylation)",3,1641,0.18
"0-5cm_CPCRW_30d_CW_saturated","both","disaccharide (-H2O)",7,1641,0.43
"0-5cm_CPCRW_30d_CW_saturated","both","erythose (-H2O)",200,1641,12.19
"0-5cm_CPCRW_30d_CW_saturated","both","Glucuronic Acid (-H2O)",11,1641,0.67
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","acetotacetate (-H2O)",95,1754,5.42
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","acetylation (-H2O)",6,1754,0.34
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","C2H2",390,1754,22.23
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","Carboxylation",7,1754,0.4
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","condensation/dehydration",5,1754,0.29
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","ethyl addition (-H2O)",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","Formic Acid (-H2O)",11,1754,0.63
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","glyoxylate (-H2O)",8,1754,0.46
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","H2S",9,1754,0.51
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","hydrogenation/dehydrogenation",4,1754,0.23
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","hydroxylation (-H)",5,1754,0.29
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","methanol (-H2O)",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","NO3-",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Abiotic","SO42-",2,1754,0.11
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Alanine",3,1754,0.17
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Asparagine",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Aspartic Acid",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","CH4_O",397,1754,22.63
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Cystine",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Glutamic Acid",2,1754,0.11
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Glycine",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Isoleucine",1,1754,0.06
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","malonyl group (-H2O)",239,1754,13.63
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","NH_CH2",8,1754,0.46
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","palmitoylation (-H2O)",28,1754,1.6
"0-5cm_CPCRW_30d_FAD_saturated","Biotic","Phenylalanine",5,1754,0.29
