Start_Date,Start_Time,Stop_Date,Stop_Time,Seq.Program,Site,Treatment,Core,Valve,Mass_g,Initials,Notes1,Notes2,time,date,error,error,edits made
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,51,1,271.22,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,53,2,279.82,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,59,3,326.32,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,52,4,314.24,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,56,5,311.76,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,45,6,287.49,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,64,7,250.81,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,65,8,345.46,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,46,9,277.57,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,57,10,261.6,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,63,11,306.48,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,58,12,333.7,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,44,13,271.96,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,62,14,342.61,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,43,15,294.14,CGN,,,,1,,,
2019-07-01,10:29,2019-07-01,11:43,,SR,initial,,16,,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,39,1,321.14,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,60,2,337.71,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,42,3,318.42,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,33,4,289.36,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,41,5,308.36,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,34,6,324.52,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,37,7,338.09,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,47,8,289.46,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,55,9,312.01,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,40,10,317.82,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,54,11,328.85,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,32,12,247.48,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,61,13,335.58,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,49,14,281.14,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,48,15,296.21,CGN,,,,1,,,
2019-07-01,11:44,2019-07-01,13:08,,SR,initial,,16,,CGN,,,,1,,,
2019-07-01,13:09,2019-07-01,14:28,,SR,initial,70,1,243.13,CGN,,,,1,,,
2019-07-01,13:09,2019-07-01,14:28,,SR,initial,89,2,319.79,CGN,,,,1,,,
